Downloaded from wid.world on 14-04-2024 at 19:53:51
Percentile;Year;"sptinc_z_US
Pre-tax national income 
Top 10% | share
USA"
p90p100;2002;0.4149
p90p100;2003;0.4164
p90p100;2004;0.4242
p90p100;2005;0.4359
p90p100;2006;0.4429
p90p100;2007;0.4404
p90p100;2008;0.4356
p90p100;2009;0.4245
p90p100;2010;0.4381
p90p100;2011;0.4426
p90p100;2012;0.4559
p90p100;2013;0.449
p90p100;2014;0.4558
p90p100;2015;0.455
p90p100;2016;0.4536
p90p100;2017;0.4546
p90p100;2018;0.4581
p90p100;2019;0.4567
p0p50;2002;0.1476
p0p50;2003;0.1446
p0p50;2004;0.1416
p0p50;2005;0.1372
p0p50;2006;0.1349
p0p50;2007;0.1371
p0p50;2008;0.1369
p0p50;2009;0.1364
p0p50;2010;0.1328
p0p50;2011;0.1297
p0p50;2012;0.1259
p0p50;2013;0.1288
p0p50;2014;0.1258
p0p50;2015;0.1265
p0p50;2016;0.1239
p0p50;2017;0.1291
p0p50;2018;0.1277
p0p50;2019;0.1301
p99p100;2002;0.161
p99p100;2003;0.1632
p99p100;2004;0.1706
p99p100;2005;0.1806
p99p100;2006;0.1852
p99p100;2007;0.1838
p99p100;2008;0.1793
p99p100;2009;0.167
p99p100;2010;0.1789
p99p100;2011;0.1808
p99p100;2012;0.1949
p99p100;2013;0.1846
p99p100;2014;0.1897
p99p100;2015;0.1889
p99p100;2016;0.1866
p99p100;2017;0.1905
p99p100;2018;0.1924
p99p100;2019;0.1904
